RBW_Hz,NF_dB,Tphys_K,N0_dBmHz,Nth_dBmHz,Nq_dBmHz,Tq_K,Idc_uA,Shot_dBmHz,Noise_in_RBW_dBm,Required_P0_dBm,Required_P1_dBm
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0,0.0,-143.0,-113.0,-133.0
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0.6,-200.2,-143.0,-113.0,-133.0
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,2.4,-194.2,-143.0,-113.0,-133.0
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0,0.0,-154.6,-124.6,-144.6
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0.6,-200.2,-154.5,-124.5,-144.5
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,2.4,-194.2,-154.2,-124.2,-144.2
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0,0.0,-161.6,-131.6,-151.6
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0.6,-200.2,-161.0,-131.0,-151.0
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,2.4,-194.2,-159.7,-129.7,-149.7
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0,0.0,-141.0,-111.0,-131.0
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0.6,-200.2,-141.0,-111.0,-131.0
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,2.4,-194.2,-141.0,-111.0,-131.0
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0,0.0,-152.6,-122.6,-142.6
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0.6,-200.2,-152.5,-122.5,-142.5
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,2.4,-194.2,-152.3,-122.3,-142.3
1000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0,0.0,-159.6,-129.6,-149.6
1000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0.6,-200.2,-159.2,-129.2,-149.2
1000.0,3,4.0,-189.6,-189.6,-207.0,0.144,2.4,-194.2,-158.3,-128.3,-148.3
1000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0,0.0,-138.0,-108.0,-128.0
1000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0.6,-200.2,-138.0,-108.0,-128.0
1000.0,6,290.0,-168.0,-168.0,-207.0,0.144,2.4,-194.2,-138.0,-108.0,-128.0
1000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0,0.0,-149.6,-119.6,-139.6
1000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0.6,-200.2,-149.6,-119.6,-139.6
1000.0,6,20.0,-179.6,-179.6,-207.0,0.144,2.4,-194.2,-149.5,-119.5,-139.5
1000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0,0.0,-156.6,-126.6,-146.6
1000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0.6,-200.2,-156.4,-126.4,-146.4
1000.0,6,4.0,-186.6,-186.6,-207.0,0.144,2.4,-194.2,-155.9,-125.9,-145.9
10000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0,0.0,-133.0,-103.0,-123.0
10000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0.6,-200.2,-133.0,-103.0,-123.0
10000.0,1,290.0,-173.0,-173.0,-207.0,0.144,2.4,-194.2,-133.0,-103.0,-123.0
10000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0,0.0,-144.6,-114.6,-134.6
10000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0.6,-200.2,-144.5,-114.5,-134.5
10000.0,1,20.0,-184.6,-184.6,-207.0,0.144,2.4,-194.2,-144.2,-114.2,-134.2
10000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0,0.0,-151.6,-121.6,-141.6
10000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0.6,-200.2,-151.0,-121.0,-141.0
10000.0,1,4.0,-191.6,-191.6,-207.0,0.144,2.4,-194.2,-149.7,-119.7,-139.7
10000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0,0.0,-131.0,-101.0,-121.0
10000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0.6,-200.2,-131.0,-101.0,-121.0
10000.0,3,290.0,-171.0,-171.0,-207.0,0.144,2.4,-194.2,-131.0,-101.0,-121.0
10000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0,0.0,-142.6,-112.6,-132.6
10000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0.6,-200.2,-142.5,-112.5,-132.5
10000.0,3,20.0,-182.6,-182.6,-207.0,0.144,2.4,-194.2,-142.3,-112.3,-132.3
10000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0,0.0,-149.6,-119.6,-139.6
10000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0.6,-200.2,-149.2,-119.2,-139.2
10000.0,3,4.0,-189.6,-189.6,-207.0,0.144,2.4,-194.2,-148.3,-118.3,-138.3
10000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0,0.0,-128.0,-98.0,-118.0
10000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0.6,-200.2,-128.0,-98.0,-118.0
10000.0,6,290.0,-168.0,-168.0,-207.0,0.144,2.4,-194.2,-128.0,-98.0,-118.0
10000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0,0.0,-139.6,-109.6,-129.6
10000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0.6,-200.2,-139.6,-109.6,-129.6
10000.0,6,20.0,-179.6,-179.6,-207.0,0.144,2.4,-194.2,-139.5,-109.5,-129.5
10000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0,0.0,-146.6,-116.6,-136.6
10000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0.6,-200.2,-146.4,-116.4,-136.4
10000.0,6,4.0,-186.6,-186.6,-207.0,0.144,2.4,-194.2,-145.9,-115.9,-135.9
100000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0,0.0,-123.0,-93.0,-113.0
100000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0.6,-200.2,-123.0,-93.0,-113.0
100000.0,1,290.0,-173.0,-173.0,-207.0,0.144,2.4,-194.2,-123.0,-93.0,-113.0
100000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0,0.0,-134.6,-104.6,-124.6
100000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0.6,-200.2,-134.5,-104.5,-124.5
100000.0,1,20.0,-184.6,-184.6,-207.0,0.144,2.4,-194.2,-134.2,-104.2,-124.2
100000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0,0.0,-141.6,-111.6,-131.6
100000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0.6,-200.2,-141.0,-111.0,-131.0
100000.0,1,4.0,-191.6,-191.6,-207.0,0.144,2.4,-194.2,-139.7,-109.7,-129.7
100000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0,0.0,-121.0,-91.0,-111.0
100000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0.6,-200.2,-121.0,-91.0,-111.0
100000.0,3,290.0,-171.0,-171.0,-207.0,0.144,2.4,-194.2,-121.0,-91.0,-111.0
100000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0,0.0,-132.6,-102.6,-122.6
100000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0.6,-200.2,-132.5,-102.5,-122.5
100000.0,3,20.0,-182.6,-182.6,-207.0,0.144,2.4,-194.2,-132.3,-102.3,-122.3
100000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0,0.0,-139.6,-109.6,-129.6
100000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0.6,-200.2,-139.2,-109.2,-129.2
100000.0,3,4.0,-189.6,-189.6,-207.0,0.144,2.4,-194.2,-138.3,-108.3,-128.3
100000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0,0.0,-118.0,-88.0,-108.0
100000.0,6,290.0,-168.0,-168.0,-207.0,0.144,0.6,-200.2,-118.0,-88.0,-108.0
100000.0,6,290.0,-168.0,-168.0,-207.0,0.144,2.4,-194.2,-118.0,-88.0,-108.0
100000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0,0.0,-129.6,-99.6,-119.6
100000.0,6,20.0,-179.6,-179.6,-207.0,0.144,0.6,-200.2,-129.6,-99.6,-119.6
100000.0,6,20.0,-179.6,-179.6,-207.0,0.144,2.4,-194.2,-129.5,-99.5,-119.5
100000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0,0.0,-136.6,-106.6,-126.6
100000.0,6,4.0,-186.6,-186.6,-207.0,0.144,0.6,-200.2,-136.4,-106.4,-126.4
100000.0,6,4.0,-186.6,-186.6,-207.0,0.144,2.4,-194.2,-135.9,-105.9,-125.9